Name,Line,County,Opened,Closed,,Fare Zone,Other names
Albertson,Oyster Bay Branch,Nassau,,present,,7,
Amagansett,Montauk Branch,Suffolk,1895,present,,14,
Amityville,Babylon Branch (Montauk Branch),Suffolk,1867,present,,9,
Atlantic Terminal,City Terminal Zone (Atlantic Branch),Brooklyn,1877,present,‡,1,"Brooklyn
Flatbush Avenue (former name)"
Auburndale,Port Washington Branch,Queens,1901,present,,3,
Babylon,Babylon Branch (Montauk Branch),Suffolk,1867,present,‡,9,Seaside (July 1868 – 1869)
Baldwin,Babylon Branch (Montauk Branch),Nassau,1867,present,,7,"Baldwinsville
Baldwins"
Bay Shore,Montauk Branch,Suffolk,1868,present,,10,"Pentaquit (1868)
Bayshore (1868-????)"
Bayside,Port Washington Branch,Queens,1866,present,,3,Bay Side
Bellerose,Hempstead Branch,Nassau,1898,present,,4,
Bellmore,Babylon Branch (Montauk Branch),Nassau,1870,present,,7,
Bellport,Montauk Branch,Suffolk,1882,present,,12,
Belmont Park,Belmont Park Branch,Queens,"1905
1957","1957
present",,4,
Bethpage,Ronkonkoma Branch (Main Line),Nassau,1854,present,,7,"Jerusalem Station (1854–1936)
Central Park (1867–1936)"
Boland's Landing,City Terminal Zone (Atlantic Branch),Queens,,present,,,
Brentwood,Ronkonkoma Branch (Main Line),Suffolk,"1870
1903
1987","1903
1987
present",,10,
Bridgehampton,Montauk Branch,Suffolk,1870,present,,14,
Broadway,Port Washington Branch,Queens,1866,present,,3,
Carle Place,Port Jefferson Branch (Main Line),Nassau,1842,Present,,7,Carll Place
Cedarhurst,Far Rockaway Branch,Nassau,"1869
1887","1876
present",,4,
Central Islip,Ronkonkoma Branch (Main Line),Suffolk,"1873
1958
1987","1958
1987
present",,10,
Centre Avenue,Long Beach Branch,Nassau,1898,present,,7,
Cold Spring Harbor,Port Jefferson Branch,Suffolk,"1875
1902
1948","1901
1948
present",,9,
Copiague,Babylon Branch (Montauk Branch),Suffolk,"1902
1967",present,,9,
Country Life Press,Hempstead Branch,Nassau,1911,present,,4,
Deer Park,Ronkonkoma Branch (Main Line),Suffolk,"1842
1936
1987","1936
1987
present",,9,
Douglaston,Port Washington Branch,Queens,1866,present,,3,Little Neck (1866–1870)
East Hampton,Montauk Branch,Suffolk,1895,present,,14,
East New York,City Terminal Zone (Atlantic Branch),Brooklyn,1878,present,,1,
East Rockaway,Long Beach Branch,Nassau,1880,present,,7,
East Williston,Oyster Bay Branch,Nassau,1880,present,,4,
Far Rockaway,Far Rockaway Branch,Queens,1869,present,,4,
Farmingdale,Ronkonkoma Branch (Main Line),Nassau,1841,present,,7,
Floral Park,Hempstead Branch (Main Line),Nassau,1878,present,,4,"Stewart Junction (1878–1879)
Hinsdale (1879–1887)
East Hinsdale (1887–1890)"
Flushing–Main Street,Port Washington Branch,Queens,1854,present,,3,
Forest Hills,City Terminal Zone (Main Line),Queens,1906,present,,1,
Freeport,Babylon Branch (Montauk Branch),Nassau,1867,present,,7,
Garden City,Hempstead Branch,Nassau,1873,present,,4,
Gibson,Far Rockaway Branch,Nassau,1928,present,,4,
Glen Cove,Oyster Bay Branch,Nassau,1895,present,,7,
Glen Head,Oyster Bay Branch,Nassau,1865,present,,7,
Glen Street,Oyster Bay Branch,Nassau,1867,present,,7,
Great Neck,Port Washington Branch,Nassau,1866,present,‡,4,Brookdale (1869–1872)
Great River,Montauk Branch,Suffolk,1897,present,,10,
Greenlawn,Port Jefferson Branch,Suffolk,"1870
1911",present,,9,
Greenport,Ronkonkoma Branch (Main Line),Suffolk,"1844
1892","1870
present",,14,
Greenvale,Oyster Bay Branch,Nassau,1866,present,,7,Week's Station
Hampton Bays,Montauk Branch,Suffolk,1871,present,,14,Good Ground (1869–1922)
Hempstead,Hempstead Branch,Nassau,1873,present,‡,4,
Hempstead Gardens,West Hempstead Branch,Nassau,1893,present,,4,
Hewlett,Far Rockaway Branch,Nassau,1869,present,,4,"Cedar Grove (July–October 1869)
Hewletts (1869-?)"
Hicksville,Port Jefferson Branch (Main Line),Nassau,1837,present,‡,7,
Hillside Facility,Main Line,Queens,1991,present,,,
Hollis,Hempstead Branch (Main Line),Queens,"1885
1990s","1967
present",,3,
Hunterspoint Avenue,Main Line (City Terminal Zone),Queens,1860,"1902
present",,1,
Huntington,Port Jefferson Branch,Suffolk,"1867
1909",present,‡,9,
Inwood,Far Rockaway Branch,Nassau,1911?,present,,4,
Island Park,Long Beach Branch,Nassau,"1898
1923",present,,7,The Dykes
Islip,Montauk Branch,Suffolk,1868,present,,10,
Jamaica,"City Terminal Zone (Main Line, Atlantic Branch, Montauk Branch)",Queens,"1836
1913","1912
present",‡,3,
Kew Gardens,City Terminal Zone (Main Line),Queens,1910,present,,1,Kew (1910–1912)
Kings Park,Port Jefferson Branch,Suffolk,"1872
1891
1948",present,,10,St. Johnsland (1872–1891)
Lakeview,West Hempstead Branch,Nassau,,present,,4,
Laurelton,Far Rockaway Branch (Atlantic Branch),Queens,1907,present,,3,
Lawrence,Far Rockaway Branch,Nassau,1869,present,,4,
Lindenhurst,Babylon Branch (Montauk Branch),Suffolk,1868,present,,9,"Wellwood (1867–1870)
Breslau (1870–1891)"
Little Neck,Port Washington Branch,Queens,1870,present,,3,
Locust Manor,Far Rockaway Branch (Atlantic Branch),Queens,1869,"1876
present",,3,"Locust Avenue (1869-1929)
Racetrack (1906-1929)
Jamaica Racetrack (1929-1959)"
Locust Valley,Oyster Bay Branch,Nassau,1869,present,,7,
Long Beach,Long Beach Branch,Nassau,"1880
1909","1909
present",‡,7,
Long Island City,"City Terminal Zone (Main Line, Montauk Branch)",Queens,1854,present,,1,
Lynbrook,Long Beach Branch (Montauk Branch),Nassau,1867,present,‡,4,
Malverne,West Hempstead Branch,Nassau,1913,present,,4,
Manhasset,Port Washington Branch,Nassau,"1899
1925",present,,4,
Massapequa,Babylon Branch (Montauk Branch),Nassau,1867,present,,7,
Massapequa Park,Babylon Branch (Montauk Branch),Nassau,1933,present,,7,
Mastic–Shirley,Montauk Branch,Suffolk,1960,present,,12,
Mattituck,Ronkonkoma Branch (Main Line),Suffolk,1844,present,,14,
Medford,Ronkonkoma Branch (Main Line),Suffolk,1844,present,,10,
Merillon Avenue,Port Jefferson Branch (Main Line),Nassau,"1912
1958",present,,4,"Clowesville (1837–1874)
Garden City (1874–1876)"
Merrick,Babylon Branch (Montauk Branch),Nassau,1867,present,,7,
Mets–Willets Point,Port Washington Branch,Queens,"1939
1946
1961","1952
present",,1,
Mineola,Port Jefferson Branch (Main Line),Nassau,1837,present,‡,4,"Branch (1837-?)
Hempstead Branch"
Montauk,Montauk Branch,Suffolk,1907,present,,14,
Murray Hill,Port Washington Branch,Queens,1889 or 1890,present,,3,
Nassau Boulevard,Hempstead Branch,Nassau,1907,present,,4,
New Hyde Park,Port Jefferson Branch (Main Line),Nassau,1870,present,,4,Hyde Park
Northport,Port Jefferson Branch,Suffolk,1873,present,‡,9,
Nostrand Avenue,City Terminal Zone (Atlantic Branch),Brooklyn,"1877
1905",present,,1,
Oakdale,Montauk Branch,Suffolk,1868,present,,10,
Oceanside,Long Beach Branch,Nassau,1897,present,,7,
Oyster Bay,Oyster Bay Branch,Nassau,1889,present,,7,
Patchogue,Montauk Branch,Suffolk,"1869
1888
1963",present,‡,10,
Penn Station,City Terminal Zone (Northeast Corridor),Manhattan,1910,present,‡,1,
Pinelawn,Ronkonkoma Branch (Main Line),Suffolk,1895,present,,9,"Melville (1895–1897)
Pinelawn (Melville) (1897–1899)
Pinelawn Cemetery (1904-?)"
Plandome,Port Washington Branch,Nassau,1909,present,,4,
Port Jefferson,Port Jefferson Branch,Suffolk,1873,present,‡,10,
Port Washington,Port Washington Branch,Nassau,1898,present,‡,4,
Queens Village,Hempstead Branch (Main Line),Queens,1871,present,,3,"Inglewood (1871-1879)
Queens (1879-1924)"
Riverhead,Ronkonkoma Branch (Main Line),Suffolk,"1870
1910",present,,14,
Rockville Centre,Babylon Branch (Montauk Branch),Nassau,1867,present,‡,7,
Ronkonkoma,Ronkonkoma Branch (Main Line),Suffolk,"1883
1934
1987","1934
1987
present",‡,10,Lake Ronkonkoma
Rosedale,Far Rockaway Branch (Atlantic Branch),Queens,1870,present,,3,Foster's Meadow (1870–1892)
Roslyn,Oyster Bay Branch,Nassau,1865,present,,7,
St. Albans,West Hempstead Branch (Montauk Branch),Queens,"1898
1935",present,,3,Locust Avenue
St. James,Port Jefferson Branch,Suffolk,1873,present,,10,
Sayville,Montauk Branch,Suffolk,"1868
1905",present,,10,
Sea Cliff,Oyster Bay Branch,Nassau,"1867
1888",present,,7,
Seaford,Babylon Branch (Montauk Branch),Nassau,1899,1968,,7,
Smithtown,Port Jefferson Branch,Suffolk,"1872
1937",present,,10,
Southampton,Montauk Branch,Suffolk,1871,present,,14,
Southold,Ronkonkoma Branch (Main Line),Suffolk,1844,present,,14,
Speonk,Montauk Branch,Suffolk,1870,present,,12,Remsenberg
Stewart Manor,Hempstead Branch,Nassau,"1873
1878
1909","1876
1879
present",,4,"Hyde Park (1873–1876)
Hyde Park Central (1878–1879)"
Stony Brook,Port Jefferson Branch,Suffolk,1873 or 1888,present,,10,
Syosset,Port Jefferson Branch,Nassau,1854,present,,7,
Valley Stream,Far Rockaway Branch (Atlantic Branch),Nassau,1869,present,,4,
Wantagh,Babylon Branch (Montauk Branch),Nassau,1867,present,,7,
Westbury,Port Jefferson Branch (Main Line),Nassau,1837,present,,7,
Westhampton,Montauk Branch,Suffolk,"1870
1905",present,,14,
West Hempstead,West Hempstead Branch,Nassau,"1928
1959","1959
present",,4,
Westwood,West Hempstead Branch,Nassau,"1929
1955",present,,4,
Woodmere,Far Rockaway Branch,Nassau,1869,present,,4,"Wood's
Woodsburgh"
Woodside,"City Terminal Zone (Main Line)
     Port Washington Branch",Queens,1869,present,‡,1,
Wyandanch,Ronkonkoma Branch (Main Line),Suffolk,"1875
1958
1987","1958
1987
present",,9,
Yaphank,Ronkonkoma Branch (Main Line),Suffolk,1844,present,,12,"Milleville (1845–1846)
Millville"