,Neighborhood,Neighborhood_Station,Fare Zone,station_lat,station_lon,In zipcode,Miles to Penn Station
0,Douglaston,Douglaston,3.0,40.76806,-73.7494100000001,11363,12.1
1,Douglaston Hill,Douglaston,3.0,40.76806,-73.7494100000001,11363,12.1
2,Douglaston Park,Douglaston,3.0,40.76806,-73.7494100000001,11363,12.1
3,Woodside,Woodside,1.0,40.74584,-73.9029700000001,11377,3.1
4,Elmhurst,Woodside,1.0,40.74584,-73.9029700000001,11377,3.1
5,Maspeth,Woodside,1.0,40.74584,-73.9029700000001,11377,3.1
6,Jackson Heights,Woodside,1.0,40.74584,-73.9029700000001,11377,3.1
7,Astoria Heights,Woodside,1.0,40.74584,-73.9029700000001,11377,3.1
8,Bayside,Bayside,3.0,40.76314,-73.7712500000001,11361,10.8
9,Bayside Manor,Bayside,3.0,40.76314,-73.7712500000001,11361,10.8
10,Forest Park,Kew Gardens,1.0,40.70964,-73.8308900000001,11415,7.7
11,Kew gardens,Kew Gardens,1.0,40.70964,-73.8308900000001,11415,7.7
12,Kew Gardens,Kew Gardens,1.0,40.70964,-73.8308900000001,11415,7.7
13,Richmond HIll Kew Gardens,Kew Gardens,1.0,40.70964,-73.8308900000001,11415,7.7
14,Richmond Hill Kew Gardens,Kew Gardens,1.0,40.70964,-73.8308900000001,11415,7.7
15,Long Island City,Long Island City,1.0,40.74128,-73.9563900000001,11101,2.8
16,Hunters Point,Long Island City,1.0,40.74128,-73.9563900000001,11101,2.8
17,Forest Hills,Forest Hills,1.0,40.71957,-73.8448100000001,11375,6.7
18,Rego Park,Forest Hills,1.0,40.71957,-73.8448100000001,11375,6.7
19,Pomonok,Forest Hills,1.0,40.71957,-73.8448100000001,11375,6.7
20,East Elmhurst,Forest Hills,1.0,40.71957,-73.8448100000001,11375,6.7
21,South Corona,Forest Hills,1.0,40.71957,-73.8448100000001,11375,6.7
22,Jamaica Estates,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
23,Jamaica,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
24,Jamaica Hills,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
25,Briarwood,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
26,Hillcrest,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
27,Woodhaven,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
28,Richmond Hill,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
29,Howard Beach,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
30,Rockwood Park,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
31,South Jamaica,Jamaica,3.0,40.6996,-73.80853000000010,11435,9.3
32,Hollis,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
33,Fresh Meadows,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
34,Utopia,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
35,Holliswood,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
36,Bellaire,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
37,Woodhull Park,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
38,Bellaire park,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
39,Bellaire Park,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
40,Bellaire Estates,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
41,Holliswood Jamaica,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
42,Bellaire West,Hollis,3.0,40.71017,-73.7667500000001,11423,11.5
43,Middle Village,Queens Village,3.0,40.71745,-73.7364600000001,11428,13.2
44,Queens Village,Queens Village,3.0,40.71745,-73.7364600000001,11428,13.2
45,South Ozone Park,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
46,Far Rockaway,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
47,Bayswater,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
48,Edgemere,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
49,Arverne,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
50,Seaside,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
51,Belle Harbor,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
52,Rockaway Beach,Far Rockaway,4.0,40.60913,-73.7505400000001,11691,20.4
53,Glen Oaks,Little Neck,3.0,40.77504,-73.7406500000001,11363,12.7
54,Bellrose Manor,Little Neck,3.0,40.77504,-73.7406500000001,11363,12.7
55,Springfield Gardens,Locust Manor,3.0,40.67513,-73.7650400000001,11434,12.2
56,Rochedale,Locust Manor,3.0,40.67513,-73.7650400000001,11434,12.2
57,Brookville,Laurelton,3.0,40.66847,-73.7517500000001,11413,13.1
58,Laurelton,Laurelton,3.0,40.66847,-73.7517500000001,11413,13.1
59,Cambria Heights,Laurelton,3.0,40.66847,-73.7517500000001,11413,13.1
60,Rosedale,Rosedale,3.0,40.66594,-73.73555000000010,11422,14.0
61,Rosedale Terrace Ward,Rosedale,3.0,40.66594,-73.73555000000010,11422,14.0
,Whitestone,Flushing - Main,3,40.75789,-73.8313500000001,11354,7.5
,Malba,Murray Hill,3,40.7627,-73.8145400000001,11354,8.4
,Beechhurst,Auburndale,3,40.76143,-73.7899600000001,11358,9.9
,Northeasetern Queens,Flushing - Main,3,40.75789,-73.8313500000001,11354,7.5
,Clearview,Auburndale,3,40.76143,-73.7899600000001,11358,9.9
,Bay Terrace,Bayside,3,40.76314,-73.7712500000001,11361,10.8
,Queensboro Hill,Hunterspoint Ave,3,40.74238,-73.9467900000001,11101,2.8
,Queens,Jamaica,3,40.6996,-73.8085300000001,11435,9.3
,Northwestern Queens,Woodside,1,40.74584,-73.9029700000001,11377,3.1
,Nassau Heights,Woodside,1,40.74584,-73.9029700000001,11377,3.1
,Eastwood,Jamaica,3,40.6996,-73.8085300000001,11435,9.3
,Clarenceville,Kew Gardens,1,40.70964,-73.8308900000001,11377,7.7
,Southeastern Queens,Jamaica,3,40.6996,-73.8085300000001,11435,9.3